,url,cena,rozmer,dispozice,lokace
0,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-tecovska/1112744524,8 300 Kč/měsíc,26 m²,1+kk,"Tečovská, Zlín - Malenovice"
1,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-j-a-bati/1042633804,Cena na vyžádání,31 m²,1+kk,"J. A. Bati, Zlín"
2,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lorencova/1472258636,18 700 Kč/měsíc,65 m²,2+kk,"Lorencova, Zlín"
3,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dlouha/1913504332,12 000 Kč/měsíc,56 m²,2+1,"Dlouhá, Zlín"
4,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vysoka/2008138316,9 000 Kč/měsíc,25 m²,1+1,"Vysoká, Zlín"
5,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-zahradni/3143836236,14 900 Kč/měsíc,21 m²,1+kk,"Zahradní, Zlín - Malenovice"
6,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-tyrsova/2728141388,16 000 Kč/měsíc,68 m²,3+1,"Tyršova, Zlín - Malenovice"
7,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/3600556620,25 000 Kč/měsíc,96 m²,2+kk,"Lešetín I, Zlín"
8,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-j-a-bati/4172448332,Cena na vyžádání,41 m²,1+kk,"J. A. Bati, Zlín"
9,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-beckovska/481043020,17 000 Kč/měsíc,68 m²,3+1,"Beckovská, Zlín"
10,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vetrna/987308620,10 000 Kč/měsíc,34 m²,1+1,"Větrná, Zlín"
11,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dukelska/1356603980,14 000 Kč/měsíc,48 m²,2+1,"Dukelská, Zlín"
12,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kudlov-vaclavska/1963905612,10 000 Kč/měsíc,58 m²,2+1,"Václavská, Zlín - Kudlov"
13,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-podlesi-v/2323300940,11 500 Kč/měsíc,36 m²,1+1,"Podlesí V, Zlín"
14,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-budovatelska/2434540108,16 000 Kč/měsíc,64 m²,3+1,"Budovatelská, Zlín"
15,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-chelcickeho/722215500,15 900 Kč/měsíc,55 m²,2+1,"Chelčického, Zlín - Malenovice"
